x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,y
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2
2,2,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,32
5,0,1,0,3,1,0,0,0,0,1,0,0,2,0,0,0,1,2,2,50
4,0,0,1,1,0,0,0,0,0,2,0,1,1,0,0,0,1,3,0,5
3,1,1,0,2,0,0,0,2,2,1,2,0,0,0,0,0,1,2,0,9
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
3,0,0,0,2,0,0,0,3,0,2,0,0,0,0,0,0,0,3,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94
5,0,1,0,1,0,0,0,1,1,3,1,0,1,0,0,0,0,2,0,80
20,1,6,5,4,1,3,4,12,4,5,4,5,0,1,1,0,4,8,1,19
4,0,1,0,0,0,0,0,2,2,1,2,0,0,0,0,0,0,1,3,13
1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5
2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,18
2,0,1,0,0,0,0,0,1,2,0,2,0,0,0,0,0,0,0,0,79
2,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,44
4,2,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,2,0,34
3,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,2,0,138
8,0,1,1,1,4,0,0,4,1,3,1,1,1,0,0,2,1,5,3,139
4,0,1,1,0,1,0,1,0,0,3,0,1,0,0,0,0,2,2,2,157
3,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,2,0,66
4,1,2,0,1,3,0,0,0,4,2,4,0,1,0,0,0,0,4,0,485
7,1,0,2,1,2,0,0,1,1,2,1,2,0,0,0,0,1,3,1,79
5,0,0,2,1,0,0,1,2,2,1,2,2,0,0,1,1,1,0,2,171
2,0,0,3,0,0,0,0,0,1,0,1,3,0,0,0,0,0,1,0,30
4,0,1,2,0,1,0,0,0,0,0,0,2,1,0,0,0,0,3,0,140
