x0,y
0.0,429
0.0,167
0.0,87
0.0,23
0.0,41
0.0,66
0.0,56
0.0,202
0.0,760
0.0,1021
0.0,639
0.0,168
0.0,727
0.0,778
0.0,197
0.0,114
0.0,377
0.0,1894
0.02400168675985932,732
0.0,916
0.01200084337992966,10695
0.0,1241
0.02400168675985932,2469
0.0,1298
0.0,382
0.0,1399
0.03600253013978898,1563
0.0,1299
0.02400168675985932,3812
0.02400168675985932,2147
0.01200084337992966,22436
0.03600253013978898,9003
0.0,4068
0.0,4651
0.0,9233
0.0,1925
0.03600253013978898,2806
0.0,4715
0.04800337351971864,7775
0.02400168675985932,5298
0.0,2013
0.0,965
0.0,1512
0.0,490
0.08400590365950762,1274
0.0,1716
0.0,6671
0.0,1870
0.0,562
0.0,689
0.0,942
0.0,399
0.0,400
0.0,861
0.0,519
0.0,593
0.01200084337992966,461
0.0,409
0.0,425
0.0,4664
