x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,y
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
2,2,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
5,0,1,0,3,1,0,0,0,0,1,0,0,2,0,0,0,1,2,2,0
4,0,0,1,1,0,0,0,0,0,2,0,1,1,0,0,0,1,3,0,0
3,1,1,0,2,0,0,0,2,2,1,2,0,0,0,0,0,1,2,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,0,0,0,2,0,0,0,3,0,2,0,0,0,0,0,0,0,3,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,1,0,1,0,0,0,1,1,3,1,0,1,0,0,0,0,2,0,0
20,1,6,5,4,1,3,4,12,4,5,4,5,0,1,1,0,4,8,1,0
4,0,1,0,0,0,0,0,2,2,1,2,0,0,0,0,0,0,1,3,0
1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
2,0,1,0,0,0,0,0,1,2,0,2,0,0,0,0,0,0,0,0,0
2,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0
4,2,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,2,0,0
3,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,2,0,0
8,0,1,1,1,4,0,0,4,1,3,1,1,1,0,0,2,1,5,3,0
4,0,1,1,0,1,0,1,0,0,3,0,1,0,0,0,0,2,2,2,2
3,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,2,0,0
4,1,2,0,1,3,0,0,0,4,2,4,0,1,0,0,0,0,4,0,0
7,1,0,2,1,2,0,0,1,1,2,1,2,0,0,0,0,1,3,1,0
5,0,0,2,1,0,0,1,2,2,1,2,2,0,0,1,1,1,0,2,0
2,0,0,3,0,0,0,0,0,1,0,1,3,0,0,0,0,0,1,0,0
4,0,1,2,0,1,0,0,0,0,0,0,2,1,0,0,0,0,3,0,4
